symbol,entry_date,exit_date,entry,target,stop,exit,pnl_pct,days,result
TITAGARH,2023-04-03,2023-04-06,276.39,292.98,268.1,292.98,6.0,2,TARGET
CHOLAFIN,2023-04-03,2023-04-06,775.21,821.73,751.96,821.73,6.0,2,TARGET
IGL,2023-04-05,2023-04-10,209.22,221.77,202.94,221.77,6.0,2,TARGET
BAJAJ-AUTO,2023-04-03,2023-04-12,3748.94,3973.88,3636.48,3973.88,6.0,5,TARGET
CHOLAFIN,2023-04-06,2023-04-13,837.74,888.01,812.61,812.61,-3.0,4,STOP
GLENMARK,2023-04-03,2023-04-19,476.25,504.82,461.96,504.82,6.0,9,TARGET
CYIENT,2023-04-18,2023-04-19,1044.68,1107.36,1013.34,1013.34,-3.0,1,STOP
TITAGARH,2023-04-18,2023-04-20,294.65,312.33,285.81,312.33,6.0,2,TARGET
ABCAPITAL,2023-04-17,2023-04-21,164.65,174.53,159.71,159.71,-3.0,4,STOP
CYIENT,2023-04-21,2023-04-24,1092.73,1158.3,1059.95,1158.3,6.0,1,TARGET
TITAGARH,2023-04-20,2023-04-25,330.56,350.4,320.65,350.4,6.0,3,TARGET
KEI,2023-04-24,2023-04-26,1784.34,1891.4,1730.81,1891.4,6.0,2,TARGET
OFSS,2023-04-24,2023-05-02,2969.26,3147.42,2880.18,3147.42,6.0,5,TARGET
INDHOTEL,2023-04-26,2023-05-03,338.04,358.32,327.9,358.32,6.0,4,TARGET
HDFCBANK,2023-04-24,2023-05-05,812.28,861.02,787.91,787.91,-3.0,8,STOP
RECLTD,2023-05-02,2023-05-05,116.79,123.79,113.28,113.28,-3.0,3,STOP
ITC,2023-04-21,2023-05-08,352.06,373.19,341.5,373.19,6.0,10,TARGET
INDHOTEL,2023-05-03,2023-05-09,351.87,372.98,341.32,372.98,6.0,4,TARGET
HAVELLS,2023-05-05,2023-05-09,1262.4,1338.14,1224.53,1224.53,-3.0,2,STOP
KEI,2023-05-05,2023-05-09,1930.17,2045.98,1872.26,2045.98,6.0,2,TARGET
PAYTM,2023-05-08,2023-05-09,723.25,766.64,701.55,701.55,-3.0,1,STOP
KEI,2023-05-09,2023-05-10,2063.29,2187.08,2001.39,2001.39,-3.0,1,STOP
ALKEM,2023-05-09,2023-05-11,3520.25,3731.46,3414.64,3414.64,-3.0,2,STOP
VBL,2023-05-10,2023-05-12,319.36,338.52,309.77,309.77,-3.0,2,STOP
CYIENT,2023-05-10,2023-05-12,1184.8,1255.88,1149.25,1149.25,-3.0,2,STOP
MGL,2023-05-09,2023-05-15,1004.37,1064.63,974.24,974.24,-3.0,4,STOP
EXIDEIND,2023-04-25,2023-05-17,187.73,199.0,182.1,199.0,6.0,15,TARGET
HAVELLS,2023-05-12,2023-05-17,1282.18,1359.11,1243.72,1243.72,-3.0,3,STOP
SIEMENS,2023-05-12,2023-05-19,2267.02,2403.04,2199.01,2199.01,-3.0,5,STOP
DLF,2023-05-15,2023-05-19,458.49,486.0,444.74,444.74,-3.0,4,STOP
MAXHEALTH,2023-05-19,2023-05-25,542.68,575.24,526.4,526.4,-3.0,4,STOP
RAMCOCEM,2023-05-19,2023-05-30,837.9,888.17,812.76,888.17,6.0,7,TARGET
POONAWALLA,2023-05-18,2023-06-08,332.76,352.72,322.78,352.72,6.0,15,TARGET
PAYTM,2023-06-08,2023-06-09,772.0,818.32,748.84,818.32,6.0,1,TARGET
OFSS,2023-05-11,2023-06-13,3283.66,3480.68,3185.15,3480.68,6.0,23,TARGET
INDHOTEL,2023-05-25,2023-06-16,377.35,399.99,366.03,399.99,6.0,16,TARGET
EXIDEIND,2023-05-17,2023-06-19,201.99,214.11,195.93,214.11,6.0,23,TARGET
DLF,2023-06-13,2023-06-19,493.21,522.8,478.41,478.41,-3.0,4,STOP
TITAGARH,2023-06-19,2023-06-20,466.29,494.27,452.3,494.27,6.0,1,TARGET
INDHOTEL,2023-06-16,2023-06-22,400.86,424.91,388.84,388.84,-3.0,4,STOP
BAJFINANCE,2023-06-19,2023-06-22,727.33,770.97,705.51,705.51,-3.0,3,STOP
HAL,2023-06-09,2023-06-26,1806.51,1914.9,1752.32,1752.32,-3.0,11,STOP
ABCAPITAL,2023-06-26,2023-06-27,181.25,192.12,175.81,192.12,6.0,1,TARGET
HDFCLIFE,2023-06-27,2023-06-28,663.11,702.89,643.21,643.21,-3.0,1,STOP
RECLTD,2023-06-20,2023-06-30,136.77,144.98,132.67,144.98,6.0,7,TARGET
BSE,2023-06-22,2023-07-03,196.5,208.29,190.6,208.29,6.0,6,TARGET
KEI,2023-06-22,2023-07-03,2346.02,2486.79,2275.64,2275.64,-3.0,6,STOP
LTF,2023-06-30,2023-07-03,122.07,129.39,118.41,129.39,6.0,1,TARGET
LTF,2023-07-03,2023-07-04,131.29,139.17,127.35,127.35,-3.0,1,STOP
BSE,2023-07-03,2023-07-06,218.05,231.13,211.5,231.13,6.0,3,TARGET
BAJFINANCE,2023-07-04,2023-07-07,777.32,823.96,754.0,754.0,-3.0,3,STOP
KALYANKJIL,2023-07-07,2023-07-10,161.24,170.91,156.4,156.4,-3.0,1,STOP
INOXWIND,2023-07-10,2023-07-11,49.28,52.23,47.8,47.8,-3.0,1,STOP
KALYANKJIL,2023-07-11,2023-07-17,172.79,183.16,167.61,183.16,6.0,4,TARGET
RBLBANK,2023-07-17,2023-07-18,222.82,236.19,216.14,216.14,-3.0,1,STOP
POLYCAB,2023-07-18,2023-07-20,4086.37,4331.55,3963.77,4331.55,6.0,2,TARGET
RAMCOCEM,2023-05-30,2023-07-21,912.76,967.53,885.38,885.38,-3.0,37,STOP
POLYCAB,2023-07-20,2023-07-21,4669.6,4949.78,4529.51,4529.51,-3.0,1,STOP
PFC,2023-06-28,2023-07-24,156.38,165.77,151.69,165.77,6.0,17,TARGET
AUROPHARMA,2023-07-21,2023-07-27,773.21,819.6,750.01,819.6,6.0,4,TARGET
RECLTD,2023-07-24,2023-07-27,152.03,161.15,147.47,161.15,6.0,3,TARGET
BSOFT,2023-07-27,2023-07-31,389.29,412.65,377.61,412.65,6.0,2,TARGET
OBEROIRLTY,2023-07-27,2023-08-01,1099.05,1164.99,1066.08,1066.08,-3.0,3,STOP
BANKBARODA,2023-07-03,2023-08-02,187.24,198.47,181.62,181.62,-3.0,22,STOP
CDSL,2023-08-01,2023-08-02,603.12,639.31,585.03,585.03,-3.0,1,STOP
IOC,2023-07-06,2023-08-04,81.88,86.8,79.43,79.43,-3.0,21,STOP
LAURUSLABS,2023-08-03,2023-08-08,382.41,405.36,370.94,405.36,6.0,3,TARGET
NAUKRI,2023-08-04,2023-08-08,965.89,1023.84,936.91,936.91,-3.0,2,STOP
INOXWIND,2023-08-08,2023-08-10,56.14,59.51,54.45,54.45,-3.0,2,STOP
JSWENERGY,2023-08-10,2023-08-11,334.12,354.17,324.1,324.1,-3.0,1,STOP
CIPLA,2023-08-08,2023-08-16,1242.53,1317.08,1205.25,1205.25,-3.0,5,STOP
RECLTD,2023-08-11,2023-08-17,197.16,208.99,191.25,208.99,6.0,3,TARGET
OFSS,2023-08-16,2023-08-18,3791.68,4019.18,3677.93,3677.93,-3.0,2,STOP
BSOFT,2023-08-17,2023-08-18,455.01,482.31,441.36,441.36,-3.0,1,STOP
TITAGARH,2023-08-21,2023-08-23,686.42,727.6,665.83,727.6,6.0,2,TARGET
ADANIPORTS,2023-08-18,2023-08-25,828.3,878.0,803.45,803.45,-3.0,5,STOP
POLYCAB,2023-08-23,2023-08-25,5083.07,5388.06,4930.58,4930.58,-3.0,2,STOP
IDEA,2023-08-25,2023-08-28,8.7,9.22,8.44,9.22,6.0,1,TARGET
NTPC,2023-07-31,2023-09-01,201.35,213.43,195.31,213.43,6.0,23,TARGET
SJVN,2023-08-28,2023-09-01,57.66,61.12,55.93,61.12,6.0,4,TARGET
ANGELONE,2023-08-28,2023-09-01,171.77,182.08,166.62,182.08,6.0,4,TARGET
BSOFT,2023-09-01,2023-09-07,511.39,542.07,496.05,496.05,-3.0,4,STOP
PNB,2023-09-01,2023-09-11,62.82,66.59,60.93,66.59,6.0,6,TARGET
BEL,2023-09-01,2023-09-11,134.83,142.92,130.79,142.92,6.0,6,TARGET
CDSL,2023-09-11,2023-09-12,683.52,724.53,663.01,663.01,-3.0,1,STOP
PNB,2023-09-11,2023-09-12,66.42,70.4,64.43,64.43,-3.0,1,STOP
GLENMARK,2023-09-13,2023-09-20,856.06,907.42,830.37,830.37,-3.0,4,STOP
NMDC,2023-09-14,2023-09-21,44.88,47.57,43.53,43.53,-3.0,4,STOP
TECHM,2023-09-22,2023-09-27,1221.31,1294.59,1184.67,1184.67,-3.0,3,STOP
ASHOKLEY,2023-07-21,2023-09-28,85.47,90.6,82.91,82.91,-3.0,47,STOP
LT,2023-09-07,2023-09-28,2798.1,2965.99,2714.16,2965.99,6.0,14,TARGET
MCX,2023-09-28,2023-09-29,417.17,442.2,404.65,404.65,-3.0,1,STOP
HINDALCO,2023-09-29,2023-10-03,486.28,515.45,471.69,471.69,-3.0,1,STOP
MARUTI,2023-09-22,2023-10-04,10324.82,10944.31,10015.08,10015.08,-3.0,7,STOP
FEDERALBNK,2023-10-03,2023-10-05,148.91,157.84,144.44,144.44,-3.0,2,STOP
PRESTIGE,2023-10-05,2023-10-10,669.89,710.08,649.79,710.08,6.0,3,TARGET
MRF,2023-08-03,2023-10-17,106644.83,113043.52,103445.48,113043.52,6.0,50,TARGET
TCS,2023-10-05,2023-10-19,3334.22,3534.27,3234.19,3234.19,-3.0,10,STOP
LTF,2023-10-17,2023-10-19,135.02,143.12,130.97,130.97,-3.0,2,STOP
RECLTD,2023-09-27,2023-10-23,253.34,268.54,245.74,245.74,-3.0,17,STOP
BSOFT,2023-10-10,2023-10-23,521.8,553.1,506.14,506.14,-3.0,9,STOP
HEROMOTOCO,2023-10-19,2023-10-23,2990.49,3169.91,2900.77,2900.77,-3.0,2,STOP
BSE,2023-10-23,2023-10-25,564.15,598.0,547.23,598.0,6.0,1,TARGET
PRESTIGE,2023-10-25,2023-10-26,756.25,801.63,733.57,733.57,-3.0,1,STOP
BHARTIARTL,2023-09-28,2023-11-01,912.89,967.66,885.5,885.5,-3.0,22,STOP
MARUTI,2023-10-27,2023-11-01,10349.86,10970.86,10039.37,10039.37,-3.0,3,STOP
IDEA,2023-11-01,2023-11-02,12.8,13.57,12.42,13.57,6.0,1,TARGET
RECLTD,2023-11-02,2023-11-09,269.42,285.59,261.34,285.59,6.0,5,TARGET
CDSL,2023-11-09,2023-11-13,831.86,881.77,806.9,881.77,6.0,2,TARGET
BSOFT,2023-11-01,2023-11-15,555.77,589.11,539.1,589.11,6.0,9,TARGET
NMDC,2023-11-13,2023-11-15,52.36,55.5,50.79,50.79,-3.0,1,STOP
PERSISTENT,2023-10-27,2023-11-17,2995.16,3174.87,2905.31,3174.87,6.0,14,TARGET
BALKRISIND,2023-10-25,2023-11-20,2553.83,2707.06,2477.21,2477.21,-3.0,17,STOP
OBEROIRLTY,2023-11-15,2023-11-20,1287.34,1364.58,1248.72,1364.58,6.0,3,TARGET
JSL,2023-11-20,2023-11-22,525.32,556.84,509.56,509.56,-3.0,2,STOP
TIINDIA,2023-11-22,2023-11-23,3719.29,3942.45,3607.71,3607.71,-3.0,1,STOP
HEROMOTOCO,2023-11-23,2023-11-29,3267.16,3463.19,3169.14,3463.19,6.0,3,TARGET
OBEROIRLTY,2023-11-20,2023-11-30,1333.15,1413.13,1293.15,1413.13,6.0,7,TARGET
EXIDEIND,2023-11-17,2023-12-04,278.6,295.32,270.24,295.32,6.0,10,TARGET
BSOFT,2023-11-15,2023-12-06,596.88,632.69,578.97,632.69,6.0,14,TARGET
BEL,2023-12-04,2023-12-11,150.19,159.2,145.68,159.2,6.0,5,TARGET
NESTLEIND,2023-10-19,2023-12-19,1172.24,1242.58,1137.07,1242.58,6.0,40,TARGET
HINDCOPPER,2023-12-19,2023-12-20,205.76,218.11,199.59,199.59,-3.0,1,STOP
HAL,2023-12-06,2023-12-21,2637.24,2795.48,2558.12,2558.12,-3.0,11,STOP
VBL,2023-12-20,2023-12-21,499.09,529.04,484.12,484.12,-3.0,1,STOP
HEROMOTOCO,2023-11-29,2023-12-26,3430.97,3636.83,3328.05,3636.83,6.0,18,TARGET
ULTRACEMCO,2023-12-11,2023-12-27,9553.33,10126.53,9266.73,10126.53,6.0,11,TARGET
HINDCOPPER,2023-12-22,2023-12-28,224.43,237.9,217.7,237.9,6.0,3,TARGET
NMDC,2023-12-26,2024-01-01,60.31,63.92,58.5,63.92,6.0,4,TARGET
ULTRACEMCO,2023-12-27,2024-01-02,10309.23,10927.78,9999.95,9999.95,-3.0,4,STOP
SUNPHARMA,2023-11-30,2024-01-03,1196.04,1267.8,1160.16,1267.8,6.0,23,TARGET
DLF,2023-12-22,2024-01-04,706.71,749.12,685.51,749.12,6.0,8,TARGET
INDUSTOWER,2024-01-04,2024-01-05,216.45,229.44,209.96,229.44,6.0,1,TARGET
ADANIGREEN,2024-01-03,2024-01-17,1697.25,1799.09,1646.33,1646.33,-3.0,10,STOP
HAL,2024-01-05,2024-01-18,2913.39,3088.19,2825.99,2825.99,-3.0,9,STOP
PNB,2023-12-28,2024-01-19,91.73,97.23,88.98,97.23,6.0,16,TARGET
MRF,2024-01-17,2024-01-23,134467.77,142535.83,130433.73,142535.83,6.0,3,TARGET
APOLLOTYRE,2024-01-18,2024-01-23,485.76,514.9,471.18,514.9,6.0,2,TARGET
INDHOTEL,2024-01-19,2024-01-23,479.34,508.1,464.96,464.96,-3.0,1,STOP
LICHSGFIN,2024-01-01,2024-01-29,546.01,578.77,529.63,578.77,6.0,18,TARGET
LUPIN,2024-01-02,2024-01-29,1379.68,1462.46,1338.29,1462.46,6.0,17,TARGET
PETRONET,2024-01-23,2024-01-30,243.63,258.25,236.32,258.25,6.0,4,TARGET
RECLTD,2024-01-29,2024-01-31,450.04,477.04,436.54,436.54,-3.0,2,STOP
HEROMOTOCO,2024-01-23,2024-02-01,4069.48,4313.65,3947.4,4313.65,6.0,6,TARGET
SUNPHARMA,2024-01-23,2024-02-05,1344.78,1425.47,1304.44,1425.47,6.0,8,TARGET
POWERGRID,2024-02-01,2024-02-05,244.65,259.33,237.31,259.33,6.0,2,TARGET
PETRONET,2024-01-30,2024-02-06,250.8,265.85,243.27,265.85,6.0,5,TARGET
INDHOTEL,2024-01-29,2024-02-07,493.21,522.8,478.42,522.8,6.0,7,TARGET
PETRONET,2024-02-06,2024-02-07,272.22,288.55,264.05,264.05,-3.0,1,STOP
LUPIN,2024-02-05,2024-02-08,1556.6,1650.0,1509.9,1650.0,6.0,3,TARGET
COALINDIA,2024-02-05,2024-02-08,382.67,405.63,371.19,405.63,6.0,3,TARGET
ADANIGREEN,2024-02-07,2024-02-09,1866.0,1977.96,1810.02,1810.02,-3.0,2,STOP
HAL,2024-02-08,2024-02-09,3008.94,3189.47,2918.67,2918.67,-3.0,1,STOP
HEROMOTOCO,2024-02-09,2024-02-12,4494.95,4764.65,4360.11,4360.11,-3.0,1,STOP
CUMMINSIND,2024-02-08,2024-02-13,2502.52,2652.67,2427.45,2427.45,-3.0,3,STOP
HDFCAMC,2024-01-31,2024-02-14,1727.11,1830.74,1675.3,1830.74,6.0,10,TARGET
BOSCHLTD,2024-02-13,2024-02-15,25636.95,27175.17,24867.84,27175.17,6.0,2,TARGET
HINDPETRO,2024-02-14,2024-02-15,339.44,359.8,329.25,359.8,6.0,1,TARGET
